COD_MUNICIPIO;NM_MUNICIPIO;UF;AGUA_ENCANADA_PRINCIPAL;NAO_POSSUI_AGUA_ENCANADA;NAO_POSSUI_LIGACAO_ESGOTO;NAO_TINHAM_BANHEIRO_NEM_SANITARIO;PERC_COLETA_LIXO;PERC_ACESSO_INTERNET;PERC_ALFA_15MAIS;QTD_FORM_SUP_EDUC;QTD_FORM_SUP;TX_CRESC_GEO;DENSIDADE_DEMO;INDICE_ENVELHECIMENTO;POP_PRETA;POP_PARDA;POP;PIB_BRUTO;PARTICIPACAO_PIB_UF;PARTICIPACAO_PIB_MESOREGIAO;TX_PESSOAS_PRETA_OU_PARDA;PIB_POR_HABITANTE;GINI;TX_HOMICIDIO;TX_SUICIDIO;EXPORTACAO_PERCAPITA;POUPANCA_PERCAPITA;ARRECADACAO_TOTAL_IMPOSTOS_PERCAPITA;DESP_CIENCIA_TEC_PERCAPITA;VALOR_TOTAL_BF_PERCAPITA;DESP_LEGISLATIVO_PERCAPITA;RECEITA_IPTU_PERCAPITA;COTA_PARTE_FPM_PERCAPITA;DESP_SAUDE_SANEAMENTO_PERCAPITA;OPERACOES_CREDITO_PERCAPITA;INDICADOR_REND_P_FUND;SAEB_MEDIA_FUND;IDEB_2021_FUND;INDICADOR_REND_P_ENS_MEDIO;SAEB_MEDIA_ENS_MEDIO;IDEB_2021_ENS_MEDIO
4315909;rodeio bonito;RS;95;0.89;1.12;0.08;91.05;83.89;94.61;106;862;1.23;79.9;107.59;116;1241;6654;279278;0.05;0.23;0.203937481214307;41.9714457469191;0.46;30.06;15.03;NA;0.808118145422693;199.033854289726;NA;19.7078449053201;123.309552149083;122.295208896904;2109.4669251578;1636.61229636309;1.35699587614264;0.997577;6.27747;6.3;0.882746;-;-
4315958;rolador;RS;83.13;15.33;19.17;NA;69.33;66.67;93.67;30;130;-0.88;7.76;216.31;55;520;2291;161912;0.03;0.13;0.250982103884766;70.6730685290266;0.44;0;0;NA;NA;196.175281727788;NA;21.8760366652117;326.305923177652;51.7330074203405;6126.75378437364;3033.02616324749;NA;-;-;-;0.985244;4.933669;4.9
4316006;rolante;RS;60.52;26.93;37.53;NA;97.41;86.62;95.95;293;1138;0.74;71.78;105.8;379;3095;21253;731607;0.13;0.3;0.163459276337458;34.4237048887216;0.35;18.82;14.12;1442.13334588058;2.20196789187596;380.032059249181;NA;13.3064038018162;43.7387201806804;154.918752176163;1324.84846186421;925.261183362349;2.88204455076568;1;6.596094;6.6;0.799261;-;-
4316105;ronda alta;RS;90.59;4.66;18.01;0.28;91.96;82.73;94.41;197;1122;-0.37;23.35;131.83;223;1421;9777;471552;0.08;0.39;0.168149739183799;48.2307456274931;0.54;10.23;0;0.365244962667485;1.52268115308627;259.208368345893;NA;20.6930551293853;71.8746721898333;168.417409225734;1914.2058412601;1148.20502812724;10.8576742932326;0.992162;7.151591;7.1;0.878198;-;-
4316204;rondinha;RS;80.28;9.23;14.3;0.06;71;78.79;96.06;100;470;-0.83;19.77;206.09;61;231;4991;268873;0.05;0.22;0.058505309557203;53.871568823883;0.47;0;60.11;NA;0.50321621293879;163.994472786737;NA;15.3193748747746;180.620052093769;90.9090122219996;2812.34079743538;1585.88838709677;0.652904385788179;0.953297;7.061474;6.7;0.984443;-;-
4316303;roque gonzales;RS;96.52;0.39;1.7;NA;83.37;80.63;94.57;136;651;-0.76;18.84;174.26;148;1754;6576;437025;0.08;0.36;0.289233576642336;66.4575729927007;0.5;0;0;NA;1.76819815695461;178.535180557719;NA;0.0199270072992701;160.180103406326;116.369736922141;2134.48797445255;1470.19529501217;4.75145508740184;1;7.067785;7.1;0.938032;5.260473;4.9
4316402;rosario do sul;RS;80.42;14.79;69.86;0.05;90.63;83.22;95.07;668;3627;-0.67;8.43;129.95;2796;5988;36630;1381969;0.24;4.73;0.23980343980344;37.7277914277914;0.51;19.11;8.19;65.1935025935026;1.40405353830474;195.553518146972;NA;48.5262353262353;135.058385203385;252.616411684412;1149.58173682774;767.531514059514;6.05833693602752;0.988911;5.76272;5.7;0.821353;-;-
4316428;sagrada familia;RS;79.96;3.91;1.75;0.21;66.5;80.78;93.07;79;205;-0.38;31.84;138.7;34;750;2480;82615;0.01;0.07;0.316129032258064;33.3125;0.54;0;0;NA;NA;125.550668114512;NA;34.9459677419355;NA;83.1157741935484;440.470157258064;2576.078875;NA;0.992162;7.106423;7.1;0.917323;5.309049;4.9
4316436;saldanha marinho;RS;77.78;14.2;6.67;NA;93.33;83.98;96.47;57;233;-0.9;11.62;180.2;92;308;2575;254247;0.04;0.21;0.155339805825243;98.7366990291262;0.43;0;0;NA;0.785213619399223;318.837785822407;NA;10.8667961165049;361.750361165049;195.072287378641;5451.02637669903;3287.47924660194;28.2494189737797;1;6.352744;6.4;0.985597;5.405275;5.3
4316451;salto do jacui;RS;92.17;6.09;43.57;0.17;88.29;86.34;93.35;222;1016;-1.26;20.1;108.86;431;2053;10203;1213455;0.21;1;0.243457806527492;118.931196706851;0.48;0;19.6;133.015191610311;0.881908935796148;293.717273219949;NA;63.4834852494364;231.224487895717;735.9130226404;1834.28310300892;1924.0721170244;8.92770029506197;0.990535;5.916567;5.9;0.41849;4.993891;2.1
4316477;salvador das missoes;RS;81.84;0.72;1.34;NA;96.78;90.35;98.66;74;323;0.63;30.51;188.14;41;208;2877;178468;0.03;0.15;0.086548488008342;62.0326729231839;0.36;34.76;0;83.731317344456;NA;155.408855588722;NA;4.4153632255822;392.884445603059;NA;4878.82965589155;2497.11314563782;NA;1;6.686658;6.7;0.937182;-;-
4316501;salvador do sul;RS;91.68;3.03;5.73;NA;98.09;90.9;97.94;105;606;0.16;69.38;125.75;158;506;6879;337661;0.06;0.14;0.0965256577990987;49.0857682802733;0.38;0;29.07;3789.36953045501;3.2277074872241;356.983061534566;NA;2.98793429277511;86.6364733246111;205.989693269371;2040.46996947231;1109.98540776276;4.66612938346582;0.992159;7.055431;7;0.843348;5.143856;4.3
4316600;sananduva;RS;76.18;12.45;45.26;NA;83.17;86.41;96.72;235;1959;0.54;32.51;167.79;166;2372;16399;843823;0.15;0.7;0.15476553448381;51.4557594975303;0.44;12.2;12.2;17.0501250076224;3.65391171231387;334.010164196781;NA;3.41398865784499;75.6650240868346;163.313958777974;1426.54967863894;1240.48932922739;18.0147808505328;0.997591;6.460641;6.4;0.899613;5.114015;4.6
4316709;santa barbara do sul;RS;83.56;13.88;11.32;NA;90.7;86.04;95.85;156;924;-0.71;8.32;126.9;321;1839;8122;1336027;0.23;1.1;0.26594434868259;164.494828859887;0.49;24.62;12.31;NA;0.54458719847609;510.331533301865;NA;22.0843388327998;147.47250307806;282.333022654519;1728.19415414922;1661.19961216449;19.8874471800696;0.962845;5.790234;5.6;0.877866;-;-
4316733;santa cecilia do sul;RS;41.98;48.3;0.97;0.16;90.76;79.74;95.65;20;79;0.1;8.37;143.2;44;257;1674;143879;0.02;0.12;0.179808841099164;85.9492234169654;0.48;0;0;NA;NA;206.968851950049;NA;9.87037037037037;393.719008363202;50.0712485065711;8384.94200716846;3603.31058542413;NA;1;6.24627;6.2;-;-;-
4316758;santa clara do sul;RS;96.51;1.2;3.64;0.08;97.87;88.45;97.87;131;584;1.59;79.67;128.17;142;321;6887;339105;0.06;0.81;0.0672281109336431;49.2384202119936;0.36;14.52;43.56;NA;0.110964209126659;349.651984068622;NA;2.20168433280093;78.4001756933353;NA;NA;1439.28290111805;0.274181194859329;0.972361;6.493466;6.3;0.873518;-;-
4316808;santa cruz do sul;RS;93.7;4.02;84.77;0.02;99.36;89.11;97.75;2081;23331;0.99;181.54;117.04;7693;15043;133230;9815170;1.69;23.37;0.170652255498011;73.6708699241913;0.49;9.76;18.01;9553.46684680628;3.24322539506762;632.67040667532;NA;0.014821136380695;94.6234083915034;393.697895669144;632.127579073782;1768.87313015087;6.66119918158988;0.951541;6.358925;6.1;0.920854;5.347448;4.9
4316907;santa maria;RS;93.5;4.73;77.06;0.05;98.95;91.55;97.9;5339;55154;0.34;152.64;117.58;18112;40517;271735;9562027;1.64;36.65;0.215757999521593;35.1887942296723;0.55;25.02;16.93;NA;2.57160726900482;571.116880726848;NA;19.221097760686;76.2704132334811;257.529873553278;441.689810182715;655.914092627008;10.3481424108597;0.989159;5.721649;5.7;0.60568;-;-
4316956;santa maria do herval;RS;61.23;31.03;1.28;NA;96.56;88.76;97.95;104;435;0.37;45.14;168.69;53;244;6340;279408;0.05;0.11;0.0468454258675079;44.0706624605678;0.3;15.77;47.32;NA;0.697516309736735;237.101685649866;NA;4.63343848580442;80.5332776025237;147.345504731861;2213.94213249211;1097.89993533123;0.531167756564984;0.950781;6.459015;6.1;0.962445;-;-
