name;open;high;low;close;volume;marketCap;timestamp
"2783";494912.2695018287;507530.5065655886;491979.0464109977;492392.0022085771;164153658231.90106;9724381452433.46;"2025-04-15T00:00:00.000Z"
"2783";492424.497697815;500652.4490615994;489387.8490524149;493018.2850119608;174300777200.4103;9817379909058.016;"2025-04-16T00:00:00.000Z"
"2783";492999.554994046;496433.4483586968;491066.6768339431;493074.5243592797;124829245305.60088;9888699690510.516;"2025-04-17T00:00:00.000Z"
"2783";493100.3114039249;494232.0471627484;489607.9136540172;490490.2875052115;73926386691.44995;9737817898628.146;"2025-04-18T00:00:00.000Z"
"2783";490490.6548967582;497151.4633175536;489924.8829919119;494048.3030341469;88626016880.13469;9808969815521.744;"2025-04-19T00:00:00.000Z"
"2783";494063.7279961378;495711.6076948905;487737.5206927337;495711.6076948905;85168807115.69186;9821326418327.096;"2025-04-20T00:00:00.000Z"
"2783";494676.3202990005;513687.6900076267;494515.4094112658;508257.2890985115;240429072622.8299;10092549998328.217;"2025-04-21T00:00:00.000Z"
"2783";508362.0365239543;536682.3439776971;505717.2792122216;534674.5137347388;324683974966.25757;10774568693883.863;"2025-04-22T00:00:00.000Z"
"2783";534471.1901349718;537057.4939004414;524207.2542305172;534637.7698711376;238665137353.43494;10642147451737.117;"2025-04-23T00:00:00.000Z"
"2783";534449.4405362773;534449.4405362773;524010.042476072;533619.5353622725;179589445468.45718;10641535718683.045;"2025-04-24T00:00:00.000Z"
"2783";533678.9298256381;544069.8144440245;527840.516084744;538921.7455208523;232406702873.4814;10683245094591.188;"2025-04-25T00:00:00.000Z"
"2783";538888.4519949805;542018.3357467029;534483.6269755942;538578.8797267141;100209929821.86835;10694411187063.066;"2025-04-26T00:00:00.000Z"
"2783";538658.437757842;542301.9847676047;532993.5771198693;533162.0622752547;102941428723.63947;10593796880378.6;"2025-04-27T00:00:00.000Z"
"2783";533111.407360687;543745.1041429169;528210.8493230139;537104.845408071;184025046940.15506;10724731205129.576;"2025-04-28T00:00:00.000Z"
"2783";537122.4261241294;537840.6847916303;527137.0843353542;529927.6713458324;145933664701.67184;10588041306800.93;"2025-04-29T00:00:00.000Z"
"2783";529871.0965605472;535320.2249321943;527157.3648323126;534475.665708061;159291431714.70288;10514139640540.197;"2025-04-30T00:00:00.000Z"
"2783";534507.1620345003;552863.0070482558;534171.1323098679;547864.202653747;186518039313.73666;10871759101633.338;"2025-05-01T00:00:00.000Z"
"2783";547879.136067768;551856.4005256766;547879.136067768;548277.8283395515;150018403929.13837;10926655827187.639;"2025-05-02T00:00:00.000Z"
"2783";548243.7019551952;548673.2879099088;542319.7602106828;542718.8093348048;89248871727.00798;10772540868264.125;"2025-05-03T00:00:00.000Z"
"2783";542636.099304949;545136.1905084328;532993.3744489049;534450.9033062751;102999116828.37294;10601773563475.725;"2025-05-04T00:00:00.000Z"
"2783";534480.5725830371;541382.6885603286;531699.7444687391;538898.4923764666;146292976581.07742;10663429736396.445;"2025-05-05T00:00:00.000Z"
"2783";538900.3966910132;553857.2870253222;535190.5315269465;553322.9617544387;151015691519.68832;10934970874080.158;"2025-05-06T00:00:00.000Z"
"2783";553309.9117422694;557970.5278671291;552072.7820376744;557382.7498397245;440039529191.52545;11016207385147.373;"2025-05-07T00:00:00.000Z"
"2783";557568.4860479629;588696.3095156772;556876.80218279;584553.1512183213;401625983204.0996;11782663331025.734;"2025-05-08T00:00:00.000Z"
"2783";584539.9266780092;591210.327213376;579558.686231602;582207.4815377227;329520438990.8673;11580666458218.314;"2025-05-09T00:00:00.000Z"
"2783";582223.6776148119;593464.3120435338;580595.4189076752;591963.5041370047;239036768594.65814;11758729471101.188;"2025-05-10T00:00:00.000Z"
"2783";591990.3345676274;593329.8849915463;583855.7324995074;588034.338554559;261702943967.8604;11692265982916.387;"2025-05-11T00:00:00.000Z"
"2783";588037.7681521036;598847.8210632296;574057.371133046;582949.4449362817;357263985272.3524;11535515607372.05;"2025-05-12T00:00:00.000Z"
"2783";582946.8322726792;588101.0524436753;575582.1507702183;584407.963229683;298292329246.91077;11732463022576.273;"2025-05-13T00:00:00.000Z"
"2783";584352.832397443;585022.4208877028;576099.1213525003;581970.6616186755;0;0;"2025-05-14T00:00:00Z"
